epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
62,593.414,1.2704,1.38032,1.70862,0.71808,0.66545,0.72318,0.46629,1.29312,1.2616,1.81421,0.00849025,0.00849025,0.00849025
63,602.833,1.27553,1.37401,1.7093,0.69533,0.5424,0.65379,0.41083,1.43905,1.46828,1.93844,0.0084655,0.0084655,0.0084655
64,612.156,1.25832,1.35575,1.69399,0.71739,0.65335,0.69955,0.45486,1.29383,1.24013,1.83779,0.00844075,0.00844075,0.00844075
65,621.606,1.24532,1.33444,1.6819,0.72387,0.61343,0.69554,0.44597,1.31481,1.2744,1.81252,0.008416,0.008416,0.008416
66,630.987,1.24549,1.329,1.68289,0.75981,0.61138,0.68982,0.43802,1.37631,1.37665,1.867,0.00839125,0.00839125,0.00839125
67,640.312,1.25624,1.34657,1.68652,0.80658,0.61881,0.73313,0.4772,1.28194,1.23638,1.79184,0.0083665,0.0083665,0.0083665
68,649.681,1.24206,1.31821,1.68304,0.76231,0.64469,0.73663,0.48011,1.28385,1.17527,1.8088,0.00834175,0.00834175,0.00834175
69,659.183,1.24734,1.33429,1.68636,0.78628,0.59726,0.71331,0.45388,1.34907,1.28976,1.8298,0.008317,0.008317,0.008317
70,668.767,1.22485,1.31642,1.66938,0.70176,0.62742,0.69947,0.4501,1.30479,1.31626,1.82906,0.00829225,0.00829225,0.00829225
71,678.171,1.24397,1.32026,1.6792,0.76145,0.64363,0.73952,0.47771,1.27298,1.15856,1.7681,0.0082675,0.0082675,0.0082675
72,687.611,1.22468,1.29277,1.66792,0.72194,0.62799,0.71757,0.46204,1.28577,1.31125,1.79226,0.00824275,0.00824275,0.00824275
73,696.957,1.23508,1.29886,1.67708,0.76476,0.60938,0.70393,0.45001,1.29048,1.28149,1.78429,0.008218,0.008218,0.008218
74,706.366,1.22031,1.28825,1.65971,0.77998,0.58977,0.7132,0.46258,1.32735,1.22669,1.83284,0.00819325,0.00819325,0.00819325
75,715.766,1.22371,1.30382,1.66609,0.71291,0.65626,0.7297,0.46913,1.2782,1.19119,1.77559,0.0081685,0.0081685,0.0081685
76,725.071,1.23217,1.27153,1.65197,0.72739,0.67568,0.72986,0.47446,1.26126,1.16608,1.75693,0.00814375,0.00814375,0.00814375
77,734.268,1.22792,1.28121,1.65622,0.77303,0.66556,0.74696,0.48014,1.32576,1.14915,1.8137,0.008119,0.008119,0.008119
78,743.615,1.22231,1.27863,1.66673,0.69402,0.63351,0.6961,0.43821,1.3515,1.28977,1.84663,0.00809425,0.00809425,0.00809425
79,752.906,1.21468,1.25879,1.64146,0.79426,0.53707,0.66743,0.42864,1.36361,1.4351,1.8469,0.0080695,0.0080695,0.0080695
80,762.397,1.22323,1.25929,1.65645,0.78985,0.61599,0.73336,0.47908,1.24441,1.17914,1.73451,0.00804475,0.00804475,0.00804475
81,771.877,1.19149,1.23114,1.63248,0.7362,0.61137,0.70155,0.44383,1.38703,1.3174,1.84864,0.00802,0.00802,0.00802
82,781.282,1.221,1.24974,1.6534,0.79745,0.64419,0.75399,0.49496,1.25065,1.10862,1.74104,0.00799525,0.00799525,0.00799525
83,790.762,1.18848,1.22513,1.6356,0.73962,0.63047,0.71054,0.44389,1.32173,1.25164,1.80723,0.0079705,0.0079705,0.0079705
84,800.09,1.21487,1.25015,1.64289,0.68577,0.6379,0.70564,0.45374,1.34145,1.24168,1.81966,0.00794575,0.00794575,0.00794575
85,809.442,1.21555,1.232,1.647,0.76758,0.65312,0.75263,0.49029,1.27733,1.14269,1.75185,0.007921,0.007921,0.007921
86,818.871,1.20067,1.20562,1.63622,0.77511,0.68741,0.76538,0.49362,1.26371,1.13997,1.74394,0.00789625,0.00789625,0.00789625
87,828.319,1.2123,1.18748,1.63382,0.73827,0.68406,0.75576,0.4899,1.22307,1.14814,1.71942,0.0078715,0.0078715,0.0078715
88,837.859,1.18248,1.21571,1.61814,0.75882,0.68651,0.7652,0.50161,1.25308,1.1482,1.71557,0.00784675,0.00784675,0.00784675
89,847.492,1.19204,1.21029,1.62443,0.78107,0.67404,0.76476,0.50257,1.24788,1.11605,1.72422,0.007822,0.007822,0.007822
90,856.907,1.19613,1.20115,1.62907,0.74968,0.67993,0.76662,0.5007,1.27144,1.1171,1.74837,0.00779725,0.00779725,0.00779725
91,866.253,1.19741,1.21706,1.62573,0.76783,0.66398,0.76174,0.49536,1.27955,1.0883,1.77318,0.0077725,0.0077725,0.0077725
92,875.652,1.18977,1.20241,1.62956,0.76059,0.66553,0.75326,0.49521,1.22835,1.11672,1.734,0.00774775,0.00774775,0.00774775
93,885.103,1.1986,1.17629,1.62848,0.75413,0.67884,0.75829,0.49458,1.22921,1.1317,1.72715,0.007723,0.007723,0.007723
94,894.469,1.19105,1.17483,1.61207,0.80492,0.66745,0.77095,0.49557,1.29885,1.1156,1.75402,0.00769825,0.00769825,0.00769825
95,904.155,1.17588,1.15907,1.60032,0.76157,0.69443,0.76737,0.50932,1.22489,1.10405,1.71468,0.0076735,0.0076735,0.0076735
96,913.531,1.18189,1.18232,1.6073,0.77558,0.67408,0.78078,0.51135,1.25485,1.09619,1.74488,0.00764875,0.00764875,0.00764875
97,922.894,1.19744,1.19347,1.62699,0.76394,0.70433,0.78404,0.50677,1.2668,1.05855,1.74783,0.007624,0.007624,0.007624
98,932.253,1.17487,1.16268,1.60492,0.7165,0.70057,0.7601,0.4962,1.25713,1.09408,1.7396,0.00759925,0.00759925,0.00759925
99,941.692,1.15899,1.13224,1.58947,0.74505,0.69532,0.7661,0.50559,1.23767,1.02565,1.71856,0.0075745,0.0075745,0.0075745
100,951.064,1.16182,1.14,1.58755,0.72943,0.64782,0.74537,0.48813,1.26244,1.20482,1.72703,0.00754975,0.00754975,0.00754975
101,960.429,1.17457,1.1312,1.59073,0.80769,0.66212,0.77084,0.50218,1.24487,1.06687,1.71417,0.007525,0.007525,0.007525
102,970.045,1.16571,1.11604,1.5827,0.7409,0.71628,0.79147,0.51942,1.23293,1.01514,1.69607,0.00750025,0.00750025,0.00750025
103,979.467,1.17888,1.1317,1.58506,0.73569,0.69834,0.76345,0.50192,1.21624,1.00491,1.67077,0.0074755,0.0074755,0.0074755
104,988.745,1.14148,1.12478,1.56798,0.77583,0.69265,0.77665,0.50911,1.23651,1.02318,1.69877,0.00745075,0.00745075,0.00745075
105,998.172,1.1531,1.10266,1.57749,0.73864,0.673,0.75332,0.4899,1.2514,1.09853,1.73075,0.007426,0.007426,0.007426
106,1007.86,1.16933,1.12703,1.5887,0.70578,0.68693,0.74316,0.48014,1.28435,1.11148,1.75313,0.00740125,0.00740125,0.00740125
107,1017.45,1.1641,1.12815,1.58962,0.75485,0.69769,0.77238,0.5124,1.27671,1.07566,1.76224,0.0073765,0.0073765,0.0073765
108,1026.93,1.16082,1.12315,1.57578,0.71823,0.73459,0.76209,0.50903,1.22964,1.08206,1.702,0.00735175,0.00735175,0.00735175
109,1036.18,1.15902,1.11946,1.57708,0.79746,0.69137,0.76977,0.50639,1.24601,1.056,1.72014,0.007327,0.007327,0.007327
110,1045.5,1.14769,1.12175,1.56626,0.78392,0.67397,0.77421,0.49985,1.24571,1.11249,1.71686,0.00730225,0.00730225,0.00730225
111,1055.01,1.16759,1.12086,1.5825,0.79548,0.67081,0.76628,0.50933,1.25883,1.05408,1.73311,0.0072775,0.0072775,0.0072775
112,1064.6,1.14746,1.11762,1.56567,0.76981,0.71484,0.78902,0.52491,1.20799,1.02814,1.70136,0.00725275,0.00725275,0.00725275
113,1074.23,1.18066,1.12169,1.58856,0.82552,0.6722,0.79184,0.5251,1.21052,1.03458,1.69247,0.007228,0.007228,0.007228
114,1083.69,1.13352,1.08626,1.56598,0.74294,0.69653,0.76518,0.50592,1.26065,1.06024,1.71716,0.00720325,0.00720325,0.00720325
115,1093.13,1.13982,1.08774,1.56378,0.82603,0.64205,0.77404,0.50196,1.22886,1.0804,1.67895,0.0071785,0.0071785,0.0071785
116,1102.46,1.1567,1.07421,1.56631,0.7696,0.67612,0.77385,0.51471,1.23076,1.06287,1.70649,0.00715375,0.00715375,0.00715375
117,1111.82,1.1355,1.07109,1.54217,0.7712,0.69073,0.77079,0.51627,1.23345,1.03134,1.69702,0.007129,0.007129,0.007129
118,1121.23,1.15629,1.0902,1.57168,0.75486,0.7249,0.78916,0.51773,1.27096,1.05389,1.72689,0.00710425,0.00710425,0.00710425
119,1130.52,1.14644,1.08813,1.56468,0.81339,0.68437,0.8028,0.54034,1.21373,0.98164,1.68216,0.0070795,0.0070795,0.0070795
120,1140.02,1.12907,1.06443,1.54232,0.80397,0.69112,0.80152,0.52941,1.22921,0.95,1.69365,0.00705475,0.00705475,0.00705475
121,1149.59,1.12402,1.04076,1.53991,0.80868,0.67172,0.78726,0.51703,1.24444,1.02528,1.69604,0.00703,0.00703,0.00703
122,1159.05,1.14398,1.06479,1.55462,0.79827,0.6757,0.77993,0.51483,1.23714,1.01458,1.70345,0.00700525,0.00700525,0.00700525
123,1168.52,1.13886,1.04909,1.55045,0.79296,0.67293,0.77393,0.50974,1.24584,0.99963,1.7146,0.0069805,0.0069805,0.0069805
124,1177.98,1.14032,1.04936,1.5497,0.76675,0.68719,0.76395,0.50082,1.22639,1.06837,1.70492,0.00695575,0.00695575,0.00695575
125,1187.33,1.11512,1.03867,1.53828,0.80343,0.67358,0.77349,0.51259,1.24438,1.0606,1.70914,0.006931,0.006931,0.006931
126,1196.76,1.14279,1.06724,1.55654,0.78561,0.70422,0.79395,0.52625,1.23938,1.02449,1.6995,0.00690625,0.00690625,0.00690625
127,1206.18,1.12957,1.04651,1.54605,0.78949,0.71864,0.79269,0.51716,1.23355,1.04482,1.68712,0.0068815,0.0068815,0.0068815
128,1215.65,1.14055,1.04973,1.54959,0.79847,0.65857,0.77636,0.51915,1.22417,0.99394,1.67541,0.00685675,0.00685675,0.00685675
129,1225.1,1.11871,1.01998,1.53606,0.76564,0.72395,0.78849,0.51968,1.23433,1.02397,1.69145,0.006832,0.006832,0.006832
130,1234.55,1.12702,1.04091,1.53454,0.79608,0.69913,0.79906,0.5295,1.19202,0.94507,1.67895,0.00680725,0.00680725,0.00680725
131,1243.86,1.12373,1.03214,1.53557,0.78431,0.69304,0.7778,0.51641,1.2469,1.10158,1.70993,0.0067825,0.0067825,0.0067825
132,1253.23,1.09826,1.00563,1.5167,0.76259,0.75802,0.81936,0.54142,1.22672,0.95621,1.72136,0.00675775,0.00675775,0.00675775
133,1262.6,1.12588,1.04078,1.53766,0.79886,0.71355,0.78758,0.52276,1.2145,0.97823,1.68781,0.006733,0.006733,0.006733
134,1271.99,1.10313,1.01603,1.51067,0.81255,0.67423,0.79881,0.52715,1.23306,0.9851,1.71509,0.00670825,0.00670825,0.00670825
135,1281.4,1.10744,1.03329,1.52592,0.78693,0.69173,0.78528,0.50887,1.24459,1.0732,1.70455,0.0066835,0.0066835,0.0066835
136,1290.87,1.11339,1.01932,1.52039,0.73041,0.70858,0.77361,0.50805,1.25059,1.0428,1.69447,0.00665875,0.00665875,0.00665875
137,1300.38,1.10006,1.01856,1.52095,0.74255,0.73878,0.79443,0.5279,1.23714,0.96043,1.68434,0.006634,0.006634,0.006634
138,1309.95,1.10996,0.9946,1.50899,0.76155,0.73064,0.78134,0.52069,1.22268,1.02745,1.66995,0.00660925,0.00660925,0.00660925
139,1319.4,1.1039,1.00974,1.51629,0.80757,0.70744,0.7944,0.53307,1.18478,0.97389,1.64251,0.0065845,0.0065845,0.0065845
140,1328.84,1.12214,1.00786,1.52489,0.79702,0.73081,0.80587,0.53087,1.25116,0.99456,1.71785,0.00655975,0.00655975,0.00655975
141,1338.31,1.11016,1.01072,1.51763,0.80387,0.74243,0.82401,0.54726,1.22228,0.94648,1.69602,0.006535,0.006535,0.006535
142,1347.74,1.0931,0.99181,1.50452,0.76657,0.70569,0.79227,0.52222,1.25141,1.03841,1.69614,0.00651025,0.00651025,0.00651025
143,1356.96,1.1146,1.01798,1.5297,0.76622,0.69409,0.77646,0.52846,1.18797,1.02687,1.63792,0.0064855,0.0064855,0.0064855
144,1366.56,1.12131,0.99116,1.52528,0.73973,0.74802,0.79192,0.53486,1.1806,0.94097,1.63181,0.00646075,0.00646075,0.00646075
145,1376.01,1.08899,0.98922,1.50521,0.78409,0.72504,0.7981,0.5319,1.17973,0.9849,1.63533,0.006436,0.006436,0.006436
146,1385.52,1.10321,0.99611,1.52235,0.79464,0.71833,0.80148,0.52885,1.20833,0.92321,1.6515,0.00641125,0.00641125,0.00641125
147,1394.94,1.08173,0.97991,1.49208,0.79539,0.70699,0.79596,0.51932,1.25591,0.98536,1.68931,0.0063865,0.0063865,0.0063865
148,1404.39,1.09742,0.9636,1.50228,0.83769,0.70303,0.81435,0.54124,1.20201,0.94104,1.65098,0.00636175,0.00636175,0.00636175
149,1413.9,1.10564,0.98634,1.51198,0.80905,0.7104,0.79249,0.52786,1.21345,0.96571,1.67247,0.006337,0.006337,0.006337
150,1423.24,1.09588,0.98104,1.51255,0.78256,0.75428,0.80908,0.53537,1.21468,0.97741,1.67623,0.00631225,0.00631225,0.00631225
151,1432.68,1.09147,0.96462,1.50319,0.8028,0.73054,0.81432,0.5487,1.19647,0.90999,1.65952,0.0062875,0.0062875,0.0062875
152,1442.15,1.1029,0.9727,1.49809,0.77572,0.72359,0.79054,0.53152,1.21211,0.98334,1.66534,0.00626275,0.00626275,0.00626275
153,1451.53,1.08595,0.9527,1.50143,0.86121,0.67187,0.81014,0.54223,1.20683,0.97124,1.68386,0.006238,0.006238,0.006238
154,1461.04,1.07145,0.95018,1.49642,0.78244,0.73809,0.80282,0.53637,1.20116,0.96513,1.67113,0.00621325,0.00621325,0.00621325
155,1470.46,1.08818,0.95923,1.50403,0.82165,0.71548,0.80464,0.544,1.20667,0.93722,1.67206,0.0061885,0.0061885,0.0061885
156,1479.91,1.0889,0.94558,1.49674,0.83659,0.67383,0.78066,0.52911,1.17591,0.9673,1.62846,0.00616375,0.00616375,0.00616375
